All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Wayne County,4,20,5729286.86,5281870.44,447416.42,1671308,1223658.56,447649.44,141403.44,119020.88,22382.56
Waynesville,1,3,730084.13,680346.49,49737.64,209246,159508.36,49737.64,15576.9,13089.96,2486.94
Wenona,6,26,7781588.96,7171047.55,610541.41,2569365,1958716.72,610648.28,191150.27,160617.72,30532.55
West Brooklyn,2,8,1993469.77,1836592.52,156877.25,704006,547128.2,156877.8,49239.95,41396,7843.95
West City,4,20,19187986.97,17646355.55,1541631.42,5589425,4047640.43,1541784.57,482626.84,405537.41,77089.43
West Dundee,11,46,9383473.71,8565760.71,817713,3471307,2653593.31,817713.69,255810.92,214925,40885.92
West Frankfort,12,54,26153780.55,24030158.3,2123622.25,7578092,5454174.9,2123917.1,665598.34,559402.18,106196.16
West Peoria,15,60,24637874.44,22608024,2029850.44,8528016,6498147.91,2029868.09,643467.8,541974.1,101493.7
Westchester,5,25,32285517.28,29572690.23,2712827.05,11033792,8320968.66,2712823.34,850365.35,714723.99,135641.36
Westfield,1,3,34694.99,31574.51,3120.48,12538,9417.52,3120.48,892,743.33,148.67
Westmont,17,85,86376504.32,79365369.99,7011134.33,26119265,19107664.54,7011600.46,2198818.1,1848237.46,350580.64
Westville,6,30,16972780.77,15536183.87,1436596.9,5225040,3788417.62,1436622.38,451033.89,379202.5,71831.39
Wheeling,21,93,57175333.49,52437901.19,4737432.3,18699582,13962050.7,4737531.3,1493231.26,1256354.13,236877.13
White County,1,4,1628836.89,1492591.96,136244.93,403351,267106.07,136244.93,42519.23,35706.94,6812.29
White Hall,3,14,4949458.96,4514724.69,434734.27,1574904,1140169.55,434734.45,136747.36,115010.47,21736.89
Whiteside County,9,41,16935159.13,15487132.42,1448026.71,5351988,3903898.01,1448089.99,454666.08,382261.27,72404.81
Will County,24,110,48623523.1,44527522.04,4096001.06,15392062,11295985.71,4096076.29,1284827.44,1080022.99,204804.45
Williamsfield,1,4,945345.86,870733.82,74612.04,291796,217183.96,74612.04,23305.17,19574.56,3730.61
Williamson,1,5,2515268.51,2320624.91,194643.6,786024,591379.15,194644.85,60671.62,50939.36,9732.26
Williamson County,17,81,25288834.06,23274180.34,2014653.72,8001543,5986879.77,2014663.23,631169.67,530435.96,100733.71
Williamsville,2,8,7663363.7,6991009.04,672354.66,2330487,1658132.28,672354.72,211116.23,177498.43,33617.8
Willisville,3,13,4229253.8,3885354.87,343898.93,1262359,918419.21,343939.79,107744.15,90547.12,17197.03
Willow Springs,13,60,21661033.2,19992894.02,1668139.18,6917437,5249273.64,1668163.36,524060.7,440652.17,83408.53
Willowbrook,4,20,11232840.59,10266088.43,966752.16,3639533,2672779.31,966753.69,302157.31,253819.47,48337.84
Wilmington (Will),15,71,28510407.7,26093068,2417339.7,8965223,6547177.17,2418045.83,758167.21,637264.47,120902.74
Wilsonville,2,7,1121190.41,1029508.77,91681.64,334502,242820.28,91681.72,28655.62,24071.48,4584.14
Winchester,4,17,5392436.69,4994711.96,397724.73,1759483,1361753.67,397729.33,125754.2,105867.78,19886.42
Windsor (Mercer),1,2,380973.42,347242.72,33730.7,115913,82182.1,33730.9,10557.5,8870.93,1686.57
Windsor (Shelby),4,17,4778188.52,4385741.38,392447.14,1640071,1247586.93,392484.07,121700.96,102076.66,19624.3
Winnebago,1,5,633901.72,584325.8,49575.92,223112,173535.38,49576.62,16360.29,13881.47,2478.82
Winnebago County,16,78,72737306.29,66717083.36,6020222.93,23548594,17528369.23,6020224.77,1886335.83,1585323.93,301011.9
Winslow,1,4,1784894.36,1631867.11,153027.25,538874,385846.75,153027.25,47820.3,40168.92,7651.38
Winthrop Harbor,10,47,35351177.47,32431616.61,2919560.86,11355246,8435663.66,2919582.34,915784.08,769804.68,145979.4
Witt,2,6,599761.42,549046.95,50714.47,183595,132880.53,50714.47,15783.43,13247.7,2535.73
Wood Dale,12,58,31716266.88,29047988.13,2668278.75,10164088,7495631.91,2668456.09,836333.82,702910.57,133423.25
Wood River,15,64,34409919.13,31556123.84,2853795.29,9901264,7047467.32,2853796.68,894450.36,751760.12,142690.24
Woodford County,4,15,2450206.17,2262653.75,187552.42,778221,590668.41,187552.59,59116.51,49738.86,9377.65
Woodhull,6,24,10582255.58,9676126.91,906128.67,3107155,2201025.32,906129.68,284650.33,239343.74,45306.59
Woodridge,8,39,24159312.88,22088472.7,2070840.18,7659956,5589115.52,2070840.48,650665.76,547039.03,103626.73
Woodson,1,5,2275955.26,2073416.97,202538.29,730305,527766.71,202538.29,63205.84,53078.93,10126.91
Woodstock,21,95,54170170.19,49612915.36,4557254.83,18066285,13508945.16,4557339.84,1437319.68,1209452.23,227867.45
Worden,2,6,1872861.48,1719238.14,153623.34,540495,386871.37,153623.63,47738.02,40056.77,7681.25
Worth,15,74,53263046.06,48991583.91,4271462.15,16618590,12346833.81,4271756.19,1338165.18,1124576.93,213588.25
Wyanet,2,9,2148748.07,1978839.54,169908.53,654728,484819.37,169908.63,53253.16,44757.71,8495.45
Wyoming,4,14,4701486.15,4311082.37,390403.78,1463350,1072945.86,390404.14,123242.24,103721.96,19520.28
Xenia,2,10,3192698.02,2925833.63,266864.39,1044663,777798.61,266864.39,83550.87,70207.65,13343.22
Yates City,2,9,2136538.91,1955342.8,181196.11,743320,562123.9,181196.1,56502,47442.12,9059.88
Yorkville,17,82,31917539.59,29320030.09,2597509.5,9998825,7401215.02,2597609.98,812167.14,682283.62,129883.52
Zeigler,2,10,5843761.52,5376010.51,467751.01,1542884,1075132.98,467751.02,146646.34,123258.71,23387.63
Zion,8,40,50891630.35,46463260.06,4428370.29,17074286,12645893.56,4428392.44,1389333.29,1167913.35,221419.94
